[2024-12-03 10:58:36,421] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 10:58:36,425] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 10:58:36,437] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 10:58:36,439] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 10:58:36,449] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 10:58:36,467] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 10:58:36,467] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /static/js/services.js HTTP/1.1" 200 -
[2024-12-03 10:58:36,577] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:36] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 10:59:54,848] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:54] "GET /services HTTP/1.1" 200 -
[2024-12-03 10:59:55,080] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 10:59:55,083] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 10:59:55,087] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 10:59:55,120] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 10:59:55,121] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 10:59:55,122] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 10:59:55,130] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 10:59:55,130] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /static/js/services.js HTTP/1.1" 200 -
[2024-12-03 10:59:55,241] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:55] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 10:59:58,612] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:59:58] "GET /api/processes?host_id=prod_ai HTTP/1.1" 200 -
[2024-12-03 11:01:42,285] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.1.1.143:5000
[2024-12-03 11:01:42,286] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-03 11:01:42,286] INFO in _internal:  * Restarting with stat
[2024-12-03 11:01:42,426] WARNING in _internal:  * Debugger is active!
[2024-12-03 11:01:42,432] INFO in _internal:  * Debugger PIN: 287-585-076
[2024-12-03 11:01:47,941] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:47] "GET /services HTTP/1.1" 200 -
[2024-12-03 11:01:48,173] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:01:48,178] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:01:48,179] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:01:48,218] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 11:01:48,219] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:01:48,222] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:01:48,235] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /static/js/services.js HTTP/1.1" 200 -
[2024-12-03 11:01:48,236] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:01:48,629] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:01:48] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 11:02:04,656] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:02:04] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 11:04:16,933] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.1.1.143:5000
[2024-12-03 11:04:16,933] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-03 11:04:16,934] INFO in _internal:  * Restarting with stat
[2024-12-03 11:04:17,062] WARNING in _internal:  * Debugger is active!
[2024-12-03 11:04:17,069] INFO in _internal:  * Debugger PIN: 287-585-076
[2024-12-03 11:04:22,875] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:22] "GET /services HTTP/1.1" 200 -
[2024-12-03 11:04:23,140] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:04:23,147] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:04:23,148] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:04:23,171] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 11:04:23,171] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:04:23,172] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:04:23,180] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /static/js/services.js HTTP/1.1" 200 -
[2024-12-03 11:04:23,181] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:04:23,291] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:23] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 11:04:29,998] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:29] "GET /services HTTP/1.1" 200 -
[2024-12-03 11:04:30,207] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:04:30,207] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:04:30,222] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:04:30,223] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:04:30,233] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:04:30,238] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 11:04:30,247] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /static/js/services.js HTTP/1.1" 200 -
[2024-12-03 11:04:30,247] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:04:30,454] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:04:30] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 11:05:01,126] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /hosts HTTP/1.1" 200 -
[2024-12-03 11:05:01,355] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:05:01,359] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:05:01,359] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:05:01,369] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:05:01,394] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:05:01,395] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 11:05:01,403] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /static/js/hosts.js HTTP/1.1" 200 -
[2024-12-03 11:05:01,403] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:05:01,471] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:01] "GET /api/hosts HTTP/1.1" 200 -
[2024-12-03 11:05:04,656] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /logs HTTP/1.1" 200 -
[2024-12-03 11:05:04,875] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
